prompt,label,category
What health insurance plans are available to employees?,0,HR
When do health benefits coverage begin for new hires?,0,HR
"Does the company offer dental insurance, and what does it cover?",0,HR
Is vision insurance included in the benefits package?,0,HR
What are the employee contributions for health insurance premiums?,0,HR
Are there any company-sponsored wellness or fitness programs?,0,HR
What kind of life insurance is provided by the company?,0,HR
"Is short-term disability insurance offered, and what are its terms?",0,HR
Does the company provide long-term disability benefits?,0,HR
Are there any Employee Assistance Programs (EAP) available?,0,HR
Does the company offer flexible spending accounts (FSAs) or health savings accounts (HSAs)?,0,HR
What is the policy on tuition reimbursement or educational assistance?,0,HR
Are there any childcare or eldercare benefits?,0,HR
How can I add or remove dependents from my benefits coverage?,0,HR
What are the annual open enrollment dates for benefits changes?,0,HR
How many days of Paid Time Off (PTO) do employees receive annually?,0,HR
Is PTO accrued or granted in a lump sum?,0,HR
What is the maximum amount of PTO that can be carried over to the next year?,0,HR
What is the procedure for requesting PTO?,0,HR
Are sick days part of the general PTO pool or separate?,0,HR
How many paid holidays does the company observe each year?,0,HR
What is the company's policy on bereavement leave?,0,HR
"Does the company offer paid parental leave, and what are the details?",0,HR
Is there a waiting period before new employees can use PTO?,0,HR
Can unused PTO be paid out upon termination?,0,HR
What is the policy for requesting an unpaid leave of absence?,0,HR
How far in advance should significant PTO requests be submitted?,0,HR
What is the company's policy regarding jury duty?,0,HR
How is PTO prorated for employees starting mid-year?,0,HR
Are there any restrictions on when PTO can be taken?,0,HR
Where can I find the most current version of the employee handbook?,0,HR
What are the key policies outlined in the company's code of conduct?,0,HR
What is the company's stance on workplace diversity and inclusion?,0,HR
How does the company address and prevent workplace harassment?,0,HR
What is the official dress code policy for the workplace?,0,HR
What are the guidelines for using company equipment and resources?,0,HR
How does the company handle conflicts of interest?,0,HR
What is the process for reporting employee grievances or concerns?,0,HR
Does the handbook cover remote work policies and expectations?,0,HR
What are the company's confidentiality and data security policies?,0,HR
When am I eligible to enroll in the company's 401k plan?,0,HR
Does the company offer any matching contributions to the 401k?,0,HR
What is the vesting schedule for the company 401k match?,0,HR
How do I initiate the enrollment process for the 401k?,0,HR
What are the different investment options available within the 401k plan?,0,HR
Can I contribute to a Roth 401k through the company plan?,0,HR
What is the maximum annual contribution limit for the 401k?,0,HR
How often can I change my 401k contribution percentage?,0,HR
Who is the primary contact or administrator for 401k related questions?,0,HR
What is the process for taking a loan or withdrawal from my 401k?,0,HR
What health insurance plans are offered to employees?,0,HR
When do health benefits become effective for new hires?,0,HR
Are dependents eligible for coverage under the company's health plans?,0,HR
What is the company's contribution towards health insurance premiums?,0,HR
Is dental insurance included in the benefits package?,0,HR
Is vision insurance provided as part of the benefits?,0,HR
Does the company offer any wellness programs or incentives?,0,HR
Is there a company-sponsored life insurance policy?,0,HR
Are short-term and long-term disability insurances provided?,0,HR
What is the process for enrolling in benefits as a new employee?,0,HR
When is the annual open enrollment period for benefits?,0,HR
